customer_key,customer_number,customer_name,gender,age,marital_status,country,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,avg_order_value,avg_monthly_spend
1,AW00011000,Jon Yang,Male,54,Married,Australia,50 and above,VIP,2013-05-03,151,3,8249,8,8,28,2749,294
2,AW00011001,Eugene Huang,Male,49,Single,Australia,40-49,VIP,2013-12-10,144,3,6384,11,10,35,2128,182
3,AW00011002,Ruben Torres,Male,54,Married,Australia,50 and above,VIP,2013-02-23,154,3,8114,4,4,25,2704,324
4,AW00011003,Christy Zhu,Female,52,Single,Australia,50 and above,VIP,2013-05-10,151,3,8139,9,9,29,2713,280
5,AW00011004,Elizabeth Johnson,Female,46,Single,Australia,40-49,VIP,2013-05-01,151,3,8196,6,6,28,2732,292
6,AW00011005,Julio Ruiz,Male,49,Single,Australia,40-49,VIP,2013-05-02,151,3,8121,6,6,29,2707,280
7,AW00011006,Janet Alvarez,Female,49,Single,Australia,40-49,VIP,2013-05-14,151,3,8119,5,5,28,2706,289
8,AW00011007,Marco Mehta,Male,56,Married,Australia,50 and above,VIP,2013-03-19,153,3,8211,8,8,26,2737,315
9,AW00011008,Rob Verhoff,Female,50,Single,Australia,50 and above,VIP,2013-03-02,153,3,8106,7,7,26,2702,311
10,AW00011009,Shannon Carlson,Male,56,Single,Australia,50 and above,VIP,2013-05-09,151,3,8091,5,5,28,2697,288
11,AW00011010,Jacquelyn Suarez,Female,56,Single,Australia,50 and above,VIP,2013-05-23,151,3,8088,4,4,28,2696,288
12,AW00011011,Curtis Lu,Male,56,Married,Australia,50 and above,VIP,2013-03-19,153,3,8133,4,4,27,2711,301
13,AW00011012,Lauren Walker,Female,46,Married,United States,40-49,New,2013-10-15,146,2,81,5,5,7,40,11
14,AW00011013,Ian Jenkins,Male,46,Married,United States,40-49,New,2014-01-21,143,2,114,5,5,9,57,12
15,AW00011014,Sydney Bennett,Female,52,Single,United States,50 and above,New,2013-04-30,152,2,138,6,5,1,69,138
16,AW00011015,Chloe Young,Female,41,Single,United States,40-49,New,2013-01-18,155,1,2501,3,3,0,2501,2501
17,AW00011016,Wyatt Hill,Male,41,Married,United States,40-49,New,2013-02-09,154,1,2332,3,3,0,2332,2332
18,AW00011017,Shannon Wang,Female,76,Single,Australia,50 and above,VIP,2013-10-14,146,3,6434,4,4,33,2144,194
19,AW00011018,Clarence Rai,Male,70,Single,Australia,50 and above,VIP,2013-10-24,146,3,6533,7,7,33,2177,197
20,AW00011019,Luke Lal,Male,42,Single,Canada,40-49,New,2014-01-12,143,17,880,33,20,11,51,80
21,AW00011020,Jordan King,Male,41,Single,Canada,40-49,New,2012-12-29,156,1,2317,2,2,0,2317,2317
22,AW00011021,Destiny Wilson,Female,41,Single,United States,40-49,New,2013-01-23,155,1,2372,3,3,0,2372,2372
23,AW00011022,Ethan Zhang,Male,41,Married,United States,40-49,New,2013-01-20,155,1,2322,2,2,0,2322,2322
24,AW00011023,Seth Edwards,Male,41,Married,United States,40-49,New,2014-01-14,143,2,122,6,6,11,61,11
25,AW00011024,Russell Xie,Male,41,Married,United States,40-49,New,2013-07-26,149,2,56,6,5,1,28,56
26,AW00011025,Alejandro Beck,Male,74,Married,Australia,50 and above,VIP,2013-10-25,146,3,6577,6,6,33,2192,199
27,AW00011026,Harold Sai,Male,74,Single,Australia,50 and above,VIP,2013-10-15,146,3,6575,7,7,33,2191,199
28,AW00011027,Jessie Zhao,Male,73,Married,Australia,50 and above,VIP,2013-10-24,146,3,6591,9,9,33,2197,199
29,AW00011028,Jill Jimenez,Female,74,Married,Australia,50 and above,VIP,2013-10-07,146,3,6474,5,5,33,2158,196
30,AW00011029,Jimmy Moreno,Male,73,Married,Australia,50 and above,VIP,2013-11-11,145,3,6565,7,7,34,2188,193
31,AW00011030,Bethany Yuan,Female,67,Married,Australia,50 and above,VIP,2013-11-09,145,3,6471,4,4,33,2157,196
32,AW00011031,Theresa Ramos,Female,72,Married,Australia,50 and above,VIP,2013-11-13,145,3,6478,6,6,33,2159,196
